longitude,latitude,country,admin_1,admin_2,admin_3,admin_4
86.12794,47.27428,中国,新疆维吾尔自治区,阿勒泰地区,吉木乃县,托斯特乡
83.60056,45.93859,中国,新疆维吾尔自治区,塔城地区,托里县,托里镇
88.64163,42.79359,中国,新疆维吾尔自治区,吐鲁番市,托克逊县,托克逊镇
83.57278,44.54537,中国,新疆维吾尔自治区,博尔塔拉蒙古自治州,精河县,托托镇
84.42834,46.16669,中国,新疆维吾尔自治区,塔城地区,托里县,铁厂沟镇
89.74276,47.22244,中国,新疆维吾尔自治区,阿勒泰地区,富蕴县,铁买克乡
81.83973,43.21669,中国,新疆维吾尔自治区,伊犁哈萨克自治州,特克斯县,特克斯镇
95.98021,40.26261,中国,甘肃省,酒泉市,瓜州县,锁阳城镇
82.95847,46.74535,中国,新疆维吾尔自治区,塔城地区,塔城市,杜别克街道
84.226,44.37313,中国,新疆维吾尔自治区,塔城地区,乌苏市,四棵树镇
86.03694,44.3023,中国,新疆维吾尔自治区,石河子市,石河子市,向阳街道
90.20463,42.8675,中国,新疆维吾尔自治区,吐鲁番市,鄯善县,辟展镇
82.1475,41.76611,中国,新疆维吾尔自治区,阿克苏地区,拜城县,托克逊乡
88.88887,44.08958,中国,新疆维吾尔自治区,昌吉回族自治州,吉木萨尔县,三台镇
85.62009,44.32597,中国,新疆维吾尔自治区,塔城地区,沙湾市,凯旋街道
